"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 13:04:33 GMT 2024","Thu Nov 28 13:04:49 GMT 2024","16714","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Thu Nov 28 13:04:50 GMT 2024","Thu Nov 28 13:04:50 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Thu Nov 28 13:02:20 GMT 2024","Thu Nov 28 13:03:11 GMT 2024","50715","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Nov 28 13:03:23 GMT 2024","Thu Nov 28 13:04:19 GMT 2024","55411","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","cancelCreateBuild","User should be able to cancel build creation and return to the initial build creation form",""
"passed","Thu Nov 28 13:04:19 GMT 2024","Thu Nov 28 13:04:32 GMT 2024","13193","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","createBuildWithoutName","User should NOT be able to create build without name",""
"unknown","Thu Nov 28 13:03:23 GMT 2024","Thu Nov 28 13:03:23 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","createBuild","User should be able to create build",""
