"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Nov 27 21:31:20 GMT 2024","Wed Nov 27 21:31:31 GMT 2024","11822","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","createBuild","User should be able to create build",""
"passed","Wed Nov 27 21:31:44 GMT 2024","Wed Nov 27 21:31:57 GMT 2024","13065","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Wed Nov 27 21:31:57 GMT 2024","Wed Nov 27 21:31:57 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Wed Nov 27 21:29:23 GMT 2024","Wed Nov 27 21:30:16 GMT 2024","53172","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Wed Nov 27 21:30:27 GMT 2024","Wed Nov 27 21:31:19 GMT 2024","51812","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","cancelCreateBuild","User should be able to cancel build creation and return to the initial build creation form",""
"passed","Wed Nov 27 21:31:32 GMT 2024","Wed Nov 27 21:31:43 GMT 2024","11427","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","createBuildWithoutName","User should NOT be able to create build without name",""
