"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 27 15:39:27 GMT 2024","Wed Nov 27 15:39:39 GMT 2024","12079","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","createBuildWithoutName","User should NOT be able to create build without name",""
"failed","Wed Nov 27 15:39:14 GMT 2024","Wed Nov 27 15:39:26 GMT 2024","12160","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","createBuild","User should be able to create build",""
"passed","Wed Nov 27 15:37:10 GMT 2024","Wed Nov 27 15:38:07 GMT 2024","57272","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Wed Nov 27 15:39:56 GMT 2024","Wed Nov 27 15:39:56 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Wed Nov 27 15:39:39 GMT 2024","Wed Nov 27 15:39:56 GMT 2024","16761","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Wed Nov 27 15:38:19 GMT 2024","Wed Nov 27 15:39:14 GMT 2024","54103","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","cancelCreateBuild","User should be able to cancel build creation and return to the initial build creation form",""
