"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 27 20:52:01 GMT 2024","Wed Nov 27 20:52:14 GMT 2024","13413","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Wed Nov 27 20:52:14 GMT 2024","Wed Nov 27 20:52:14 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Wed Nov 27 20:51:50 GMT 2024","Wed Nov 27 20:52:00 GMT 2024","10559","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","createBuildWithoutName","User should NOT be able to create build without name",""
"passed","Wed Nov 27 20:50:43 GMT 2024","Wed Nov 27 20:51:38 GMT 2024","55270","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","cancelCreateBuild","User should be able to cancel build creation and return to the initial build creation form",""
"failed","Wed Nov 27 20:51:39 GMT 2024","Wed Nov 27 20:51:50 GMT 2024","10476","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","createBuild","User should be able to create build",""
"passed","Wed Nov 27 20:49:33 GMT 2024","Wed Nov 27 20:50:31 GMT 2024","58668","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
