"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 12:41:56 GMT 2024","Thu Nov 28 12:42:08 GMT 2024","11623","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","createBuildWithoutName","User should NOT be able to create build without name",""
"passed","Thu Nov 28 12:39:57 GMT 2024","Thu Nov 28 12:40:51 GMT 2024","53716","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"unknown","Thu Nov 28 12:41:02 GMT 2024","Thu Nov 28 12:41:02 GMT 2024","11","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","createBuild","User should be able to create build",""
"passed","Thu Nov 28 12:42:08 GMT 2024","Thu Nov 28 12:42:22 GMT 2024","14202","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Thu Nov 28 12:41:03 GMT 2024","Thu Nov 28 12:41:56 GMT 2024","52887","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","cancelCreateBuild","User should be able to cancel build creation and return to the initial build creation form",""
"passed","Thu Nov 28 12:42:22 GMT 2024","Thu Nov 28 12:42:22 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
