"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 27 10:31:20 GMT 2024","Wed Nov 27 10:31:20 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Wed Nov 27 10:31:06 GMT 2024","Wed Nov 27 10:31:19 GMT 2024","13376","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Wed Nov 27 10:28:47 GMT 2024","Wed Nov 27 10:29:37 GMT 2024","50309","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"failed","Wed Nov 27 10:30:45 GMT 2024","Wed Nov 27 10:30:55 GMT 2024","10663","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","createBuild","User should be able to create build",""
"passed","Wed Nov 27 10:29:48 GMT 2024","Wed Nov 27 10:30:44 GMT 2024","55902","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","cancelCreateBuild","User should be able to cancel build creation and return to the initial build creation form",""
"passed","Wed Nov 27 10:30:56 GMT 2024","Wed Nov 27 10:31:06 GMT 2024","9890","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","createBuildWithoutName","User should NOT be able to create build without name",""
